Customer_ID,Gender,Age,Country,Subscription_Plan,Monthly_Charges,Account_Age_Months,Watch_Hours_Per_Month,Favorite_Genre,Devices_Used,Profiles_Created,Downloads_Per_Month,Support_Tickets,Payment_Failures,Last_Login_Days_Ago,Satisfaction_Score,Auto_Renewal,Churn,Age_Category
CUST00060,Female,57 ,Brazil,Standard,499,1,68,Action,4,5,35,7,2,113,9,No,No,Senior
CUST00061,Female,59 ,UK,Standard,499,32,22,Horror,1,5,40,0,1,105,5,Yes,No,Senior
CUST00062,Female,51 ,Australia,Basic,199,28,84,Horror,1,5,33,6,0,119,9,No,No,Middle Aged
CUST00063,Female,54 ,USA,Standard,499,60,74,Drama,3,4,37,7,3,67,8,No,Yes,Middle Aged
CUST00064,Male,41 ,France,Basic,199,20,31,Drama,3,1,7,8,1,101,9,No,No,Middle Aged
CUST00065,Female,21 ,India,Premium,649,16,51,Horror,1,1,27,2,4,32,7,Yes,No,Young
CUST00066,Male,35 ,Brazil,Premium,649,24,60,Romance,1,2,40,7,5,75,3,No,Yes,Adult
CUST00067,Male,23 ,Brazil,Standard,499,66,55,Horror,2,1,39,7,5,74,4,Yes,Yes,Young
CUST00068,Male,63 ,Japan,Standard,499,7,48,Drama,2,3,29,1,5,68,4,No,Yes,Senior
CUST00069,Male,49 ,South Korea,Standard,499,57,63,Romance,2,4,41,6,0,17,2,Yes,No,Middle Aged
CUST00070,Male,24 ,Canada,Premium,649,38,39,Documentary,5,3,28,7,4,104,4,Yes,Yes,Young
CUST00071,Male,22 ,Brazil,Basic,199,53,51,Romance,4,1,1,7,2,72,4,Yes,Yes,Young
CUST00072,Male,46 ,Australia,Premium,649,46,21,Thriller,1,3,36,2,4,17,5,No,No,Middle Aged
CUST00073,Male,43 ,France,Basic,199,24,69,Documentary,4,1,44,2,3,95,8,Yes,Yes,Middle Aged
CUST00074,Female,33 ,UK,Premium,649,23,46,Sci-Fi,2,1,44,5,1,8,1,Yes,No,Adult
CUST00075,Male,35 ,Germany,Premium,649,61,3,Comedy,4,3,26,3,0,32,9,Yes,No,Adult
CUST00076,Female,32 ,USA,Standard,499,59,38,Horror,5,5,4,2,3,50,3,No,Yes,Adult
CUST00077,Female,68 ,Australia,Standard,499,51,43,Comedy,2,3,6,3,4,87,7,Yes,Yes,Senior
CUST00078,Male,56 ,Germany,Premium,649,26,41,Drama,4,4,20,0,4,11,8,Yes,No,Senior
CUST00079,Female,69 ,USA,Standard,499,44,56,Thriller,2,1,2,0,0,49,6,Yes,No,Senior
CUST00080,Female,56 ,USA,Standard,499,49,32,Action,4,2,5,2,2,117,2,No,Yes,Senior
CUST00081,Female,24 ,Japan,Standard,499,17,65,Action,5,2,7,1,3,56,3,No,Yes,Young
CUST00082,Male,47 ,Japan,Standard,499,43,45,Horror,5,2,48,8,0,72,5,Yes,No,Middle Aged
CUST00083,Female,47 ,USA,Standard,499,68,76,Romance,2,5,22,7,1,45,9,Yes,No,Middle Aged
CUST00084,Male,26 ,Germany,Premium,649,11,54,Romance,2,1,49,3,3,52,7,No,Yes,Adult
CUST00085,Male,27 ,Australia,Premium,649,40,47,Romance,2,5,14,0,2,118,1,Yes,Yes,Adult
CUST00086,Female,70 ,Brazil,Premium,649,11,39,Romance,1,1,44,3,5,16,9,Yes,No,Senior
CUST00087,Female,43 ,South Korea,Standard,499,63,46,Drama,4,3,9,0,0,21,7,Yes,No,Middle Aged
CUST00088,Female,41 ,USA,Standard,499,71,32,Action,4,5,8,8,0,14,5,No,No,Middle Aged
CUST00089,Female,55 ,India,Premium,649,56,50,Drama,2,1,9,0,4,3,10,No,No,Middle Aged
CUST00090,Female,53 ,France,Standard,499,62,40,Sci-Fi,1,4,13,8,3,79,8,Yes,Yes,Middle Aged
CUST00091,Male,43 ,Canada,Standard,499,51,48,Sci-Fi,2,4,30,6,5,35,8,No,No,Middle Aged
CUST00092,Male,49 ,UK,Premium,649,59,59,Romance,4,1,44,3,2,28,7,No,No,Middle Aged
CUST00093,Male,67 ,USA,Premium,649,3,28,Romance,2,4,24,8,3,29,8,Yes,No,Senior
CUST00094,Male,69 ,Japan,Basic,199,70,27,Romance,3,2,17,1,1,108,6,No,No,Senior
CUST00095,Female,30 ,South Korea,Standard,499,2,40,Documentary,1,5,9,1,3,85,8,No,Yes,Adult
CUST00096,Male,58 ,South Korea,Standard,499,16,38,Thriller,5,1,6,4,0,74,8,Yes,No,Senior
CUST00097,Female,19 ,Canada,Basic,199,50,102,Romance,1,4,14,7,4,79,7,No,Yes,Young
CUST00098,Female,41 ,India,Standard,499,66,53,Drama,5,3,10,8,4,79,6,Yes,Yes,Middle Aged
CUST00099,Male,40 ,UK,Premium,649,53,19,Documentary,5,5,32,8,2,104,3,Yes,Yes,Adult
CUST00100,Female,40 ,South Korea,Standard,499,54,33,Action,3,5,16,6,1,13,7,No,No,Adult
CUST00101,Female,33 ,USA,Premium,649,41,67,Sci-Fi,1,1,6,7,3,3,2,Yes,Yes,Adult
CUST00102,Female,29 ,Brazil,Standard,499,28,75,Horror,4,1,27,0,0,37,8,No,No,Adult
CUST00103,Female,26 ,UK,Basic,199,66,52,Documentary,4,4,8,0,2,31,6,No,No,Adult
CUST00104,Female,59 ,Australia,Premium,649,28,28,Comedy,1,4,20,7,4,41,9,No,No,Senior
CUST00105,Female,53 ,Japan,Premium,649,5,44,Sci-Fi,4,2,38,0,3,108,2,No,Yes,Middle Aged
CUST00106,Female,40 ,Australia,Standard,499,19,66,Documentary,2,2,27,1,3,63,6,No,Yes,Adult
CUST00107,Male,39 ,India,Basic,199,32,35,Drama,5,2,36,7,3,77,2,Yes,Yes,Adult
CUST00108,Male,64 ,UK,Standard,499,61,31,Action,3,5,41,2,3,74,6,No,Yes,Senior
CUST00109,Female,25 ,Brazil,Premium,649,60,24,Thriller,2,4,34,1,1,4,5,No,No,Adult
CUST00110,Female,43 ,Germany,Premium,649,11,61,Comedy,5,2,6,2,2,68,6,Yes,No,Middle Aged
CUST00111,Female,35 ,Germany,Standard,499,47,48,Drama,3,4,16,5,4,30,3,Yes,Yes,Adult
CUST00112,Female,57 ,USA,Standard,499,49,62,Action,4,5,41,7,1,54,4,No,Yes,Senior
CUST00113,Female,48 ,USA,Standard,499,28,33,Comedy,2,5,50,0,2,21,7,Yes,No,Middle Aged
CUST00114,Male,48 ,Germany,Basic,199,53,55,Horror,2,3,37,7,0,30,7,No,No,Middle Aged
CUST00115,Female,64 ,USA,Premium,649,51,31,Sci-Fi,4,1,6,5,3,0,10,Yes,No,Senior
CUST00116,Male,37 ,Germany,Basic,199,2,52,Comedy,2,5,0,2,1,77,2,Yes,Yes,Adult
CUST00117,Male,33 ,Canada,Premium,649,10,57,Documentary,4,2,19,4,2,43,2,No,Yes,Adult
CUST00118,Female,32 ,India,Basic,199,23,64,Comedy,4,1,20,6,2,38,4,Yes,No,Adult
CUST00119,Male,41 ,Brazil,Standard,499,36,22,Documentary,2,3,9,4,0,50,10,Yes,No,Middle Aged
CUST00120,Male,42 ,UK,Premium,649,40,51,Drama,5,3,11,8,5,90,9,No,Yes,Middle Aged
CUST00121,Female,51 ,UK,Premium,649,59,78,Horror,5,5,29,4,5,24,6,No,No,Middle Aged
CUST00122,Female,45 ,Germany,Basic,199,46,20,Romance,4,3,21,8,4,10,8,Yes,No,Middle Aged
CUST00123,Female,47 ,India,Premium,649,3,42,Action,3,2,11,1,1,104,1,Yes,Yes,Middle Aged
CUST00124,Male,40 ,UK,Standard,499,66,44,Drama,2,5,39,1,2,9,9,Yes,No,Adult
CUST00125,Female,67 ,Australia,Premium,649,18,35,Sci-Fi,3,1,12,3,3,75,2,Yes,Yes,Senior
CUST00126,Male,65 ,France,Basic,199,70,92,Documentary,2,2,24,3,5,110,2,No,Yes,Senior
CUST00127,Male,59 ,UK,Standard,499,28,43,Romance,2,2,37,3,0,58,7,Yes,No,Senior
CUST00128,Female,68 ,Canada,Premium,649,6,64,Comedy,2,5,35,1,5,68,6,Yes,Yes,Senior
CUST00129,Female,41 ,Canada,Basic,199,58,74,Documentary,4,5,2,7,1,111,5,Yes,No,Middle Aged
CUST00130,Female,20 ,Australia,Basic,199,19,50,Horror,4,4,32,7,0,43,10,Yes,No,Young
CUST00131,Male,32 ,Australia,Premium,649,66,29,Action,2,1,7,6,2,58,10,Yes,No,Adult
CUST00132,Male,66 ,India,Standard,499,65,12,Comedy,5,1,36,3,5,31,5,No,Yes,Senior
CUST00133,Female,39 ,South Korea,Basic,199,1,31,Documentary,4,4,18,2,1,20,4,Yes,No,Adult
CUST00134,Female,69 ,UK,Standard,499,62,63,Romance,2,4,49,2,1,46,2,Yes,Yes,Senior
CUST00135,Male,42 ,Canada,Standard,499,46,78,Action,5,5,42,7,0,69,7,No,No,Middle Aged
CUST00136,Male,36 ,Brazil,Premium,649,67,16,Thriller,2,3,40,1,0,69,10,No,No,Adult
CUST00137,Female,31 ,Brazil,Basic,199,63,61,Action,1,3,40,5,2,119,2,Yes,Yes,Adult
CUST00138,Male,32 ,Canada,Premium,649,58,60,Romance,1,2,16,8,0,75,2,No,Yes,Adult
CUST00139,Male,28 ,Japan,Premium,649,45,68,Thriller,4,4,8,7,2,20,5,Yes,No,Adult
CUST00140,Male,61 ,Germany,Basic,199,8,42,Romance,4,2,28,5,5,26,10,Yes,No,Senior
CUST00141,Female,53 ,Australia,Premium,649,46,51,Drama,3,1,16,1,4,14,10,Yes,No,Middle Aged
CUST00142,Male,62 ,Australia,Standard,499,52,31,Horror,5,3,6,2,1,89,2,Yes,Yes,Senior
CUST00143,Male,28 ,Japan,Basic,199,10,39,Thriller,1,4,46,3,2,117,7,Yes,No,Adult
CUST00144,Female,42 ,Brazil,Premium,649,46,32,Documentary,1,2,32,2,5,47,7,No,Yes,Middle Aged
CUST00145,Female,22 ,India,Premium,649,21,38,Action,5,5,0,0,2,18,6,Yes,No,Young
CUST00146,Male,27 ,France,Basic,199,30,51,Sci-Fi,3,5,40,5,5,108,7,No,Yes,Adult
CUST00147,Female,42 ,India,Basic,199,47,68,Comedy,2,5,22,4,3,56,3,Yes,Yes,Middle Aged
CUST00148,Female,30 ,Germany,Premium,649,19,63,Action,5,3,43,5,5,3,10,No,No,Adult
CUST00149,Male,66 ,USA,Premium,649,56,52,Thriller,4,4,20,3,3,45,1,No,Yes,Senior
CUST00150,Male,48 ,India,Basic,199,16,48,Comedy,2,5,19,7,5,30,4,Yes,Yes,Middle Aged
CUST00151,Female,30 ,UK,Standard,499,67,59,Thriller,2,4,34,4,0,88,4,Yes,Yes,Adult
CUST00152,Male,22 ,Brazil,Standard,499,64,22,Sci-Fi,5,4,12,8,4,118,1,Yes,Yes,Young
CUST00153,Male,25 ,USA,Basic,199,37,41,Documentary,1,1,7,5,2,112,2,Yes,Yes,Adult
CUST00154,Female,21 ,France,Standard,499,12,71,Comedy,1,1,18,0,4,48,6,No,Yes,Young
CUST00155,Male,47 ,UK,Premium,649,13,35,Documentary,3,1,19,3,0,43,9,No,No,Middle Aged
CUST00156,Male,56 ,Brazil,Standard,499,68,48,Comedy,1,5,20,7,3,67,10,Yes,Yes,Senior
CUST00157,Male,59 ,Japan,Standard,499,24,14,Action,3,3,50,5,0,78,10,No,Yes,Senior
CUST00158,Male,28 ,Canada,Basic,199,29,0,Documentary,4,2,6,1,3,24,5,No,Yes,Adult
CUST00159,Female,32 ,USA,Standard,499,29,39,Drama,3,3,23,4,2,84,7,No,No,Adult
CUST00160,Female,27 ,Australia,Standard,499,28,50,Romance,5,1,25,4,4,24,4,Yes,Yes,Adult
CUST00161,Female,51 ,France,Basic,199,48,42,Horror,1,3,2,6,0,116,7,Yes,No,Middle Aged
CUST00162,Female,63 ,UK,Standard,499,42,45,Sci-Fi,3,2,41,4,0,62,3,Yes,Yes,Senior
CUST00163,Female,35 ,Canada,Basic,199,60,86,Sci-Fi,4,4,6,7,0,89,6,Yes,No,Adult
CUST00164,Male,60 ,France,Standard,499,15,33,Thriller,3,4,50,1,0,1,10,Yes,No,Senior
CUST00165,Male,24 ,France,Premium,649,27,37,Thriller,2,3,11,2,3,68,2,No,Yes,Young
CUST00166,Male,60 ,Canada,Standard,499,37,68,Action,5,5,12,1,3,66,1,No,Yes,Senior
CUST00167,Male,31 ,Japan,Standard,499,26,21,Horror,3,4,13,3,1,74,6,No,No,Adult
CUST00168,Female,36 ,USA,Standard,499,39,24,Comedy,2,1,33,0,0,52,6,Yes,No,Adult
CUST00169,Female,52 ,Canada,Basic,199,14,57,Drama,2,5,43,4,4,117,4,No,Yes,Middle Aged
CUST00170,Female,20 ,UK,Standard,499,40,42,Action,3,4,41,3,2,32,4,Yes,No,Young
CUST00171,Male,51 ,USA,Standard,499,28,42,Comedy,5,1,8,0,1,81,3,No,Yes,Middle Aged
CUST00172,Female,55 ,India,Basic,199,2,26,Comedy,5,1,29,8,3,5,4,Yes,Yes,Middle Aged
CUST00173,Male,44 ,Australia,Basic,199,39,74,Drama,5,4,45,0,4,69,2,No,Yes,Middle Aged
CUST00174,Female,46 ,South Korea,Premium,649,53,42,Drama,3,2,16,7,2,21,8,No,No,Middle Aged
CUST00175,Male,29 ,Brazil,Standard,499,33,59,Sci-Fi,3,1,38,6,3,85,2,No,Yes,Adult
CUST00176,Male,24 ,Brazil,Standard,499,49,63,Sci-Fi,3,4,2,0,1,80,6,No,No,Young
CUST00177,Male,29 ,UK,Premium,649,46,48,Documentary,5,3,17,4,1,31,4,No,Yes,Adult
CUST00178,Female,22 ,UK,Basic,199,33,55,Thriller,3,3,38,2,2,42,1,Yes,No,Young
CUST00179,Female,43 ,Germany,Premium,649,71,37,Sci-Fi,1,5,33,4,4,92,8,Yes,Yes,Middle Aged
CUST00180,Female,21 ,South Korea,Premium,649,25,58,Drama,4,1,19,7,3,28,2,Yes,Yes,Young
CUST00181,Male,53 ,France,Premium,649,12,17,Sci-Fi,4,5,38,0,3,116,5,Yes,Yes,Middle Aged
CUST00182,Male,29 ,USA,Standard,499,39,13,Comedy,5,5,44,0,4,7,5,Yes,Yes,Adult
CUST00183,Male,51 ,UK,Standard,499,46,31,Documentary,5,3,12,6,1,71,8,Yes,No,Middle Aged
CUST00184,Female,23 ,Australia,Standard,499,11,26,Sci-Fi,2,5,16,6,2,48,5,Yes,No,Young
CUST00185,Male,39 ,India,Standard,499,2,40,Horror,5,3,27,3,3,98,7,Yes,Yes,Adult
CUST00186,Male,18 ,Australia,Basic,199,63,35,Drama,5,2,3,0,3,47,6,Yes,Yes,Young
CUST00187,Male,46 ,Australia,Standard,499,2,76,Comedy,4,2,34,6,2,102,8,Yes,No,Middle Aged
CUST00188,Female,66 ,South Korea,Basic,199,16,21,Comedy,1,4,47,5,5,35,2,No,Yes,Senior
CUST00189,Female,37 ,Canada,Premium,649,12,74,Documentary,3,3,0,2,1,55,7,No,No,Adult
CUST00190,Male,33 ,UK,Basic,199,24,24,Horror,2,3,7,6,5,101,6,Yes,Yes,Adult
CUST00191,Male,34 ,Germany,Premium,649,42,45,Horror,1,2,40,8,0,7,9,Yes,No,Adult
CUST00192,Female,63 ,France,Premium,649,29,40,Thriller,4,1,37,3,5,31,9,No,No,Senior
CUST00193,Female,64 ,South Korea,Standard,499,41,49,Action,3,5,33,4,4,17,1,No,Yes,Senior
CUST00194,Male,69 ,France,Basic,199,58,61,Horror,2,2,44,5,4,21,2,No,Yes,Senior
CUST00195,Male,66 ,USA,Basic,199,16,68,Action,2,2,47,2,3,33,2,No,Yes,Senior
CUST00196,Male,38 ,South Korea,Standard,499,10,60,Comedy,5,1,46,1,2,55,1,No,Yes,Adult
CUST00197,Male,49 ,France,Basic,199,48,56,Horror,5,1,7,2,0,29,2,Yes,No,Middle Aged
CUST00198,Male,36 ,Australia,Basic,199,70,42,Drama,2,4,8,0,0,120,4,Yes,Yes,Adult
CUST00199,Male,49 ,France,Standard,499,70,70,Romance,4,5,18,4,5,87,1,No,Yes,Middle Aged
CUST00200,Male,34 ,Canada,Basic,199,17,37,Documentary,2,5,26,5,5,41,10,Yes,No,Adult
CUST00201,Male,70 ,South Korea,Basic,199,58,65,Horror,1,2,23,0,4,70,1,No,Yes,Senior
CUST00202,Female,39 ,Japan,Standard,499,71,28,Romance,4,1,35,3,4,27,8,Yes,No,Adult
CUST00203,Male,68 ,UK,Basic,199,36,18,Romance,2,5,24,5,4,4,10,No,No,Senior
CUST00204,Male,48 ,USA,Basic,199,7,55,Action,2,1,13,1,3,68,6,Yes,Yes,Middle Aged
CUST00205,Male,60 ,Japan,Basic,199,9,27,Sci-Fi,1,2,2,7,0,27,10,No,No,Senior
CUST00206,Female,40 ,Canada,Standard,499,45,39,Thriller,1,2,36,4,0,57,7,No,No,Adult
CUST00207,Female,30 ,Germany,Premium,649,22,28,Action,3,5,2,0,1,51,3,Yes,Yes,Adult
CUST00208,Male,52 ,India,Premium,649,56,39,Documentary,4,2,27,3,1,102,4,Yes,Yes,Middle Aged
CUST00209,Female,21 ,Canada,Premium,649,4,51,Romance,1,2,23,6,2,54,8,Yes,No,Young
CUST00210,Female,51 ,Japan,Basic,199,54,28,Comedy,5,1,36,3,0,36,9,Yes,No,Middle Aged
CUST00211,Male,23 ,Japan,Standard,499,66,48,Thriller,5,5,6,3,3,18,5,No,No,Young
CUST00212,Male,62 ,Canada,Standard,499,15,11,Drama,2,3,14,0,4,116,6,No,Yes,Senior
CUST00213,Female,28 ,France,Premium,649,17,38,Sci-Fi,5,3,28,3,5,61,3,No,Yes,Adult
CUST00214,Female,63 ,South Korea,Standard,499,18,26,Horror,2,1,30,5,5,46,7,No,Yes,Senior
CUST00215,Male,22 ,Canada,Basic,199,21,49,Sci-Fi,3,1,38,3,3,15,6,Yes,No,Young
CUST00216,Male,47 ,Canada,Standard,499,62,20,Sci-Fi,3,5,46,4,4,107,2,Yes,Yes,Middle Aged
CUST00217,Female,33 ,India,Standard,499,36,47,Thriller,1,1,29,3,1,76,2,No,Yes,Adult
CUST00218,Female,36 ,Australia,Standard,499,65,48,Drama,1,2,29,5,0,111,9,Yes,No,Adult
CUST00219,Female,49 ,USA,Premium,649,15,72,Documentary,1,4,46,5,1,57,10,Yes,No,Middle Aged
CUST00220,Male,63 ,Germany,Standard,499,67,15,Horror,5,3,46,4,4,107,3,Yes,Yes,Senior
CUST00221,Male,19 ,Brazil,Standard,499,67,50,Documentary,1,1,38,1,4,81,2,Yes,Yes,Young
CUST00222,Male,61 ,South Korea,Premium,649,54,56,Sci-Fi,3,5,18,0,0,108,8,Yes,No,Senior
CUST00223,Male,49 ,UK,Standard,499,26,82,Documentary,4,4,32,1,5,26,9,No,No,Middle Aged
CUST00224,Female,52 ,India,Basic,199,33,52,Documentary,3,1,33,8,1,111,1,Yes,Yes,Middle Aged
CUST00225,Male,58 ,South Korea,Standard,499,43,49,Action,2,5,13,0,1,86,6,No,No,Senior
CUST00226,Male,54 ,India,Premium,649,50,74,Documentary,2,4,32,3,2,100,5,Yes,No,Middle Aged
CUST00227,Female,44 ,Brazil,Basic,199,50,79,Horror,2,4,5,8,5,76,3,Yes,Yes,Middle Aged
CUST00228,Male,43 ,Germany,Basic,199,47,68,Comedy,3,3,27,0,2,86,8,Yes,No,Middle Aged
CUST00229,Female,70 ,Brazil,Standard,499,23,45,Documentary,3,5,19,5,0,114,3,No,Yes,Senior
CUST00230,Male,45 ,Brazil,Premium,649,66,44,Action,3,1,19,0,1,66,10,No,No,Middle Aged
CUST00231,Male,64 ,USA,Standard,499,47,48,Thriller,3,5,12,5,4,65,1,No,Yes,Senior
CUST00232,Male,68 ,Canada,Standard,499,14,0,Documentary,1,3,48,6,1,54,7,No,Yes,Senior
CUST00233,Male,61 ,India,Basic,199,29,34,Horror,3,2,13,6,5,95,7,No,Yes,Senior
CUST00234,Female,32 ,Australia,Premium,649,27,46,Action,3,4,30,3,3,55,2,Yes,Yes,Adult
CUST00235,Female,45 ,Japan,Basic,199,15,48,Action,4,2,15,4,2,41,1,Yes,No,Middle Aged
CUST00236,Female,39 ,Brazil,Basic,199,37,66,Drama,4,3,9,5,0,29,3,No,Yes,Adult
CUST00237,Male,38 ,Brazil,Standard,499,11,32,Thriller,4,5,32,3,2,64,1,Yes,Yes,Adult
CUST00238,Male,65 ,Germany,Basic,199,49,39,Comedy,4,4,3,7,4,103,10,Yes,Yes,Senior
CUST00239,Male,66 ,Australia,Standard,499,61,77,Sci-Fi,3,1,1,8,2,21,3,Yes,No,Senior
CUST00240,Male,53 ,Germany,Premium,649,19,41,Comedy,2,4,45,5,5,4,3,No,Yes,Middle Aged
CUST00241,Female,53 ,USA,Basic,199,8,43,Documentary,1,3,40,8,5,47,1,Yes,Yes,Middle Aged
CUST00242,Male,46 ,Canada,Standard,499,71,88,Romance,5,3,16,8,0,109,9,Yes,No,Middle Aged
CUST00243,Male,36 ,Brazil,Premium,649,70,51,Thriller,5,5,12,8,5,104,7,Yes,Yes,Adult
